street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.78198460621957,340.08333451217044,401.2161967822323,478.5794098814782,563.4323624230003,655.5378049681751,774.1110455815766,922.5381139556033,1106.5011026648378,1326.5317074435882,1592.8085575434295,1885.4315870750715,2203.8519959462733,2604.462444063742,3093.9055249860326,3670.7795714655444,4353.667010518096,5157.683962523554,6020.8226540609785,6993.988013948498,8084.475846446769,10125.0,12827.600060145716,15207.54437022875,17373.27024114588,19444.073017981922,21481.158246501753,23502.049898926256,25544.109844394574,27645.19242417572,29864.571488103767,32495.27422457017,35655.67633881396,39427.831053407375,43817.00612253395,48773.68121435301,53920.29505005115,59275.49581110503,65778.52742489011,73081.19197604942,81423.83677036405,90819.37968350133,101665.30475631107,112839.10639161548,124236.46836284455,137483.11670310036,152265.5291961114,168806.81362572737,187529.86525288515,209291.00807280265,231013.41291850287,253120.0553543023,278495.4313790852,307443.25443918817,339341.322805045,374136.6812896769,411203.9695160845,447108.8082603036,481328.03006486164,517359.3534188838,555424.6736104947,593744.5071837835,632540.5129543263,674462.9817414797,714488.3861419128,750835.2600372621,786252.2340835456,820992.1200510773,855064.2998985497,888145.0259567031,918764.0628624277,947077.4111028103,973243.840208258,997418.5345089269,1019747.737369596,1040368.7351799022,1059410.0453757443,1076991.6907866078,1093225.520999835,1108215.5672567124,1122058.4203616676,1134843.622708382,1146654.0668861826,1157566.3945805759,1167651.3906262505,1176974.3681025764,1185595.5412768375,1193570.383999535,1200949.9718428792,1207781.306854551,1214107.6242822548,1219968.6810199392,1225401.0258437735,1230438.2517549905,1235111.2309371284,1239448.332976024,1243475.6270902902,1247217.0691853717
95CI-up,250.0,295.57673241,346.32120312664966,413.1573379599494,499.1167996797071,594.1258088066054,698.2306577295429,835.6339147940315,1011.1802566995971,1233.3351440344663,1504.4347749199694,1840.5706672799809,2216.131970093036,2632.792182626474,3179.2129964001692,3870.6691314766376,4713.341840519787,5750.5739519882745,7024.572446977948,8432.93286609296,10097.161010853848,12052.859770756135,14201.810867900045,19508.750134123613,23867.99740496675,27631.593382680236,31085.19281153684,34385.77108201784,37597.633917773856,40802.0857151365,44072.457880898735,47510.64248284904,51587.091983109625,56485.64860257627,62330.03502636114,69120.69547457491,76771.64910198748,84679.39130741092,92875.72593452915,102836.80744323389,113990.05133339732,126695.6954750434,140952.3755747463,157352.2799528487,174139.13580492386,191153.63055734764,210861.42708744612,232740.9061030099,257089.26286660228,284491.0204610373,316161.04790421255,347516.16491075297,379189.2200068339,415351.12784148316,456364.40966317995,501262.5684525872,549910.1214280727,601353.4789563826,650759.5291640243,697444.5859542199,746255.9630982785,797454.5875511128,848579.2862052921,899930.9911008362,955032.5208498564,1007179.1817002104,1054091.0483746896,1099413.6182057224,1143490.3730198464,1186350.089050244,1227602.1729667562,1265420.329635214,1300058.872677425,1331768.4502940192,1360789.4000563126,1387345.1459916008,1411642.6917037682,1433873.344580501,1454213.5303002414,1472825.6410733701,1489858.8975934184,1505450.2096437502,1519725.023374738,1532798.145801629,1544774.539296822,1555750.0807842424,1565812.2819985417,1575040.9685627732,1583508.9167848877,1591282.447999076,1598421.9810078118,1604982.5437400634,1611014.2456554351,1616562.7127165622,1621669.4869442703,1626372.3926810909,1630705.871735375,1634701.2895748361,1638387.2146969857
95CI-down,250.0,289.77100049,333.4271105627226,388.9276977044155,458.23125252710815,533.809293654627,615.3335872502895,718.5472330982946,846.0465674733402,1002.131144011335,1186.8323531296733,1407.7236076609563,1648.808496267796,1909.249922105784,2231.5775654187805,2620.28231078948,3073.516297730577,3604.0206627050316,4221.736219650047,4880.908742372039,5616.820323690294,6433.720323636775,7294.102918157272,9456.784651927355,11299.285828215257,12930.389649038652,14448.524061715196,15909.020484105326,17334.490124138156,18756.086370665354,20203.10409084679,21717.013366348547,23486.99654794458,25592.335406236547,28087.7960192155,30977.868379408945,34230.89251428058,37608.36145042776,41118.52454281825,45344.76319737881,50074.37660283796,55454.28948427717,61491.353015569264,68427.85846151307,75575.0511063597,82861.7887149164,91273.79899233462,100627.917388227,111058.72267200323,122820.96895769355,136432.8970431228,150045.67165076188,163897.65995872303,179714.902242559,197697.81528601344,217482.2350553443,239036.32403742007,261985.71220555506,284280.3317526391,305591.41310047044,328005.5924876752,351684.18017757597,375580.9690073893,399841.7380857963,426104.71734644554,451331.61788142263,474418.0807320564,497075.0862942255,519469.27224451647,541624.6454187601,563345.52346669,583673.5851698519,602698.5558243999,620501.7089808017,637164.0348220369,652761.2732323742,667364.1932026506,681038.854137513,693846.894485355,705845.811523442,717089.2293820628,727627.1537381765,737506.212522736,746769.8824794992,755458.7017535957,763610.4689187323,771260.4290011363,778441.4471471991,785184.1706266444,791517.1798766667,797467.129284573,803058.8783843695,808315.6141118766,813258.9647272526,817909.1059760371,822284.8600218118,826403.787646641,830282.2741802289,833935.6095857037
