street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.7819846062196,340.08333451217044,401.27007036114793,478.80200804000657,563.9244082064765,656.4297432001641,775.7985704275691,925.5438670691532,1111.5401236688572,1334.4560914010322,1604.8044144902417,1902.3779779906508,2226.7437626752667,2636.0702787955192,3137.5190053378883,3729.9469216145367,4433.015947871391,5262.901843571888,6155.401478390078,7164.080965878704,8297.205570153721,10125.0,12827.600060145716,15207.54437022875,17293.848668188268,19138.83776208474,20788.171528624378,22312.526652926852,23757.340769087554,25150.65451609944,26505.706472131686,27838.433722434303,29151.850218333217,30444.863079760966,31724.285697965224,32985.26276997413,34222.54638116998,35422.71587590645,36589.196475828794,37718.41232435832,38807.30096159868,39851.83903716008,40847.86681612597,41787.908283506506,42669.037368626225,43492.97477285038,44255.08399296552,44955.94710455391,45594.03072229603,46180.63910749772,46712.489842473835,47194.82020121538,47632.27625700112,48030.68889000154,48391.85140023704,48718.83646240181,49005.690285812016,49255.74562634692,49469.92445000538,49652.5548644918,49809.16606601249,49941.6069716126,50054.15569705196,50150.566099149786,50232.793223862835,50301.985121024656,50359.722291845865,50408.00645666906,50448.48853797626,50482.56869296089,50510.941562608146,50534.52372067167,50554.1518650058,50570.5292621136,50584.233262233516,50595.73485154965,50605.41794727708,50613.59583292534,50620.524597962714,50626.413995816605,50631.4361898733,50635.73279851295,50639.4205760231,50642.59600002309,50645.338981609224,50647.715870784516,50649.78189498846,50651.58314092007,50653.15816788013,50654.539323370154,50655.75381774427,50656.824603581,50657.771096546094,50658.60976739572,50659.35462906146,50660.01763817562,50660.609026713486,50661.137576463785
95CI-up,250.0,295.57673241,346.32120312664966,413.21862643576947,499.3709139697177,594.6888763515208,699.2556908556911,837.5952316765364,1014.7136246995657,1239.3295430712353,1513.97727574912,1855.2204644050323,2237.083501435717,2661.4539053854346,3219.6132607414734,3927.734719311015,4792.6229580835425,5859.681896970671,7173.362914396124,8627.964719135342,10350.58133914951,12379.523535139866,14613.108127495287,20137.555561001984,24682.95565534974,28492.962935183485,31750.845328658615,34588.32693101821,37156.79056805958,39553.37042309208,41838.37248941839,44042.42606648993,46197.63230432577,48312.37187555258,50387.0004317759,52434.39370882996,54447.306091626604,56417.66829824401,58323.730363394105,60171.88306199116,61956.63417481561,63673.32059017339,65315.68167920983,66877.2676087973,68346.21949694888,69718.26456803229,70996.72529611367,72174.50841494986,73253.10708236163,74230.53919877627,75125.58047765307,75933.25675198364,76662.3578951419,77320.61577434852,77917.56322802878,78456.24039918566,78941.68773169926,79364.79913607192,79731.13785386605,80042.48432902961,80305.85893404717,80530.00789833734,80717.98747380804,80876.46102041783,81011.20506134084,81125.25676779267,81220.4393720646,81299.18649013189,81364.4997819117,81418.8303266673,81464.2321110873,81501.74451420247,81532.69663496975,81558.28496954162,81579.5037769385,81597.1605828057,81611.9073376696,81624.27013648037,81634.67410843915,81643.46350881629,81650.91776233939,81657.26424142944,81662.68844658232,81667.3421271369,81671.34976942228,81674.81378946533,81677.81869636307,81680.43443650058,81682.71908483587,81684.72101489575,81686.48065190027,81688.03189195896,81689.40325332797,81690.61881230501,81691.69896572026,81692.66105355587,81693.51986853666,81694.288074213,81694.97654881627
95CI-down,250.0,289.77100049,333.4271105627226,388.97453308051263,458.4244410127371,534.2358355297507,616.1050110979489,719.9971956591403,848.6122564140127,1006.4039624156072,1193.5084630177184,1417.7587046699923,1662.9027803097508,1928.1833076223854,2257.4943755175227,2655.7063103474097,3121.1390849488457,3667.306532669241,4304.890137875303,4986.479857875316,5749.2371336738925,6598.05670452787,7493.866488842187,9748.504393340401,11673.212128843687,13330.88441581337,14777.946312584047,16058.080542111147,17227.04465411936,18321.878136564635,19366.438353301804,20373.4149606253,21356.311654347206,22319.26607302657,23263.05748639964,24193.35772178925,25107.713337276404,26003.13436548051,26870.92230223765,27713.55066671147,28528.76538956948,29314.59898218846,30068.399447884964,30787.390818120188,31466.541431668044,32103.84052639601,32700.410495314107,33253.140581114996,33762.40531304989,34227.18037265675,34655.07100581911,35043.97129091306,35397.45667113439,35718.73854827795,36011.84436373492,36278.10056196314,36519.68034304178,36732.64814663171,36919.2725453755,37080.20730442882,37218.41238399603,37337.69426733164,37439.370787497865,37526.42107248081,37601.4861914999,37665.97310249189,37720.718859075394,37766.85474131744,37805.81323781387,37838.78843405997,37866.803524518036,37890.3743088753,37910.17799014242,37926.83812411081,37940.88446316218,37952.75681470185,37962.818056207805,37971.36736166208,37978.651642985475,37984.875020115076,37990.20655744017,37994.78656313781,37998.73171814188,38002.139256623355,38005.09037828182,38007.653037970325,38009.88422995258,38011.831861394414,38013.536291477285,38015.03159790038,38016.346620788536,38017.50582456845,38018.53001075647,38019.436908452946,38020.24166436817,38020.957250183565,38021.59480179147,38022.16390231132,38022.67281862918
