street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.7819846062196,340.0833345121704,401.26883896505836,478.79691584392435,563.9131453250754,656.4093133537656,775.7598742232426,925.4748684183639,1111.424331645259,1334.2738226768197,1604.528233413365,1901.987506416999,2226.2158963527972,2635.340652808737,3136.5110794156385,3728.5780038552602,4431.178023410031,5260.461953801643,6152.277722421787,7160.128972731708,8292.257903864614,10125.0,12827.600060145716,15207.54437022875,17293.807883044636,19138.6922304127,20787.84209252341,22311.904176618315,23756.289003105157,25149.012188620145,26503.294775260038,27835.051547972565,29147.27864454911,30438.88364666128,31716.66016089845,32975.75236693633,34210.91364186969,35408.7516588478,36572.68424417164,37699.14586734182,38785.08150680799,39826.48506709188,40819.22382316931,41755.857978218904,42633.48524972215,43453.83980182925,44212.36060846327,44909.66626751551,45544.2607800618,46127.44265978441,46655.976982462984,47135.107602247066,47569.487909909556,47964.94806431818,48323.29473397591,48647.59880749341,48931.97826394472,49179.77314703567,49391.93118445394,49572.77103508188,49727.79182642692,49858.84406472076,49970.17736537635,50065.51771898464,50146.80827480865,50215.19380340787,50272.245578488866,50319.948008427615,50359.93599960818,50393.59508979699,50421.61403441799,50444.90035897679,50464.281524337915,50480.452560339836,50493.98384254168,50505.34056740793,50514.90188001958,50522.977137995535,50529.81920056373,50535.63516065581,50540.594987494325,50544.83848719915,50548.48091487978,50551.61750595328,50554.32714051277,50556.675311369654,50558.71653201292,50560.49629340586,50562.05265681598,50563.417552580606,50564.61784092729,50565.67617996628,50566.61173717926,50567.440773690534,50568.17712496554,50568.83259705436,50569.41729385937,50569.93988797756
95CI-up,250.0,295.57673241,346.3212031266496,413.2172255563222,499.3651008216278,594.675987868756,699.2322126954359,837.550258024372,1014.6325172545429,1239.1918051528746,1513.7578059051193,1854.8832155634248,2236.600804306375,2660.7930807242674,3218.6808151262658,3926.416144046547,4790.78907906663,5857.155347356201,7169.913732609197,8623.439505684079,10344.695909482027,12371.929840368597,14603.538624750832,20122.90370276422,24663.94966667279,28470.16110898852,31724.640092280737,34558.98099291141,37124.37791986985,39517.83107283156,41799.55013175888,44000.108729466665,46151.54154127438,48262.193755572174,50332.42381413603,52375.06319550794,54382.8747122112,56347.80108599073,58248.163019125364,60090.3332904989,61868.84349686743,63579.048570576226,65214.72375202728,66769.47110625576,68231.50397190067,69596.59306103097,70868.07945838707,72039.00054714383,73110.90625308962,74081.8760993484,74970.65490572517,75772.34973174386,76495.75008211585,77148.58992150945,77740.3892632463,78274.20524039023,78755.06889960275,79173.99658848265,79536.55424365438,79844.55806183655,80105.00282767214,80326.57571527026,80512.3298016189,80668.87510520291,80801.93750701989,80914.53137068215,81008.47146407931,81086.17331622081,81150.60817404081,81204.19972246533,81248.97748353788,81285.97030786987,81316.49208058495,81341.72423497727,81362.64785292868,81380.05946278364,81394.60200012513,81406.79421550623,81417.05526314199,81425.72453487501,81433.07749160545,81439.3382698098,81444.68972346873,81449.28143331622,81453.23610512639,81456.65468994116,81459.62048891255,81462.20245019265,81464.45782189778,81466.4342910333,81468.1717113886,81469.70350221821,81471.05778279135,81472.25829466041,81473.32515301958,81474.27546021604,81475.12380787554,81475.88268885619,81476.56283606362
95CI-down,250.0,289.77100049,333.4271105627226,388.97346255763046,458.42002159142135,534.226071994635,616.0873415461017,719.9639466405729,848.5533586008179,1006.305774186411,1193.354899891352,1417.527655299745,1662.5780079059173,1927.7466927114465,2256.89608614065,2654.8876019368004,3120.0372024081603,3665.84057873607,4302.961759643244,4984.029229937715,5746.160286222195,6594.234284151689,7489.215654430864,9741.701455239654,11664.48292553255,13320.424492036567,14765.9025520026,16044.557050520418,17212.072477557533,18305.43472474084,19348.461391074892,20353.818263910664,21334.980211042926,22296.068737541224,23237.862599806558,24166.014142878936,25078.072051245723,25971.050333258358,26836.278849879123,27676.223715009506,28488.640349060934,29271.56857605804,30022.371065162177,30738.293279246478,31414.333654275626,32048.500129049622,32641.92358374035,33191.54762882729,33697.77176479964,34159.59858965992,34584.622520668,34970.771963663174,35321.62372419914,35640.3912405313,35931.09770132893,36195.077241179526,36434.499787129585,36645.48163701352,36830.294577553395,36989.60937671143,37126.37725969008,37244.38110500251,37344.938457582386,37431.00643235547,37505.20461854799,37568.9302865785,37623.017267678595,37668.589446739796,37707.06610960519,37739.62912395367,37767.290493016095,37790.56133999906,37810.1118844849,37826.558563684695,37840.42474743986,37852.14479555203,37862.07702304112,37870.516808146436,37877.7079102943,37883.85183043249,37889.11545485402,37893.63727780091,37897.53246725188,37900.896993459966,37903.810998532834,37906.341550906385,37908.54490063964,37910.46832901384,37912.15166791076,37913.62854999248,37914.927439091785,37916.07248087909,37917.084206342726,37917.98011454438,37918.77515620193,37919.48213567889,37920.11204573965,37920.674346816464,37921.177200410326
