street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.7819846062196,340.0833345121705,401.3258679964534,479.0329562206599,564.4355497533943,657.3575712439887,777.5581172888602,928.6849757921882,1116.8173454197836,1342.7716214349482,1617.4176161256694,1920.2265041583055,2250.8928234023188,2669.4883519639397,3183.742240269965,3792.8024607239354,4517.511358655952,5375.211869613863,6299.343211774627,7346.385965764414,8525.697266120409,10125.0,12827.600060145716,15207.544370228752,17295.696745008943,19145.444691132943,20803.156692946253,22340.903763755894,23805.40171863212,25225.890524524566,26616.47946614738,27994.213196145618,29363.03249099227,30721.916930072595,32078.729089490367,33428.77329989782,34766.89497766742,36078.47467045473,37367.45836751911,38629.95423808676,39862.75383693663,41061.20887125283,42220.032228320786,43330.20539289344,44387.8912592844,45394.386094431255,46341.20213542569,47227.109515729106,48048.79643395724,48817.63613373346,49527.92551830151,50184.46449033117,50791.36743595963,51354.24838904291,51874.06657316717,52353.94137777111,52783.8625164067,53166.4758986945,53500.90476932502,53791.64347329966,54045.6312162609,54264.287381094175,54453.33059529846,54617.96261644179,54760.66372049003,54882.569172020034,54985.631190938955,55072.78649222886,55146.60238720537,55209.354551607306,55262.03023399469,55306.07193457454,55342.88292500427,55373.68947414538,55399.52244973606,55421.23556036843,55439.531929440134,55454.98981655785,55468.08494437716,55479.20911957161,55488.68551858038,55496.7811587575,55503.717053242464,55509.67647876306,55514.81171178949,55519.24952271688,55523.09566269278,55526.43853270678,55529.352188146986,55531.89880267664,55534.130691647384,55536.09197622951,55537.81995409537,55539.34623011288,55540.69765050728,55541.89707586435,55542.964021802596,55543.915190836844
95CI-up,250.0,295.57673241,346.32120312664966,413.282103785726,499.63455892095357,595.2737883762961,700.3219479914419,839.6401790944559,1018.4058337419535,1245.60656157419,1523.9891544208094,1870.6209388773646,2259.144719014987,2691.6809828072246,3262.3136647324836,3988.19242789782,4876.807603747061,5975.801666018403,7332.074946075491,8836.396488532067,10621.941680797789,12730.01599907715,15055.222903753389,20815.582074384496,25563.320112639474,29549.926910783357,32966.37887893403,35950.453999578924,38662.408867053564,41205.726593225096,43645.33559148829,46014.60309055265,48348.91824384539,50658.53828526077,52943.83805450826,55220.04021339292,57479.73107516624,59714.530794223814,61899.486770276395,64042.149508827104,66136.15010622468,68176.28899972152,70154.86233800276,72063.10993330415,73885.9061577473,75617.1866348627,77259.68626188619,78799.34724145831,80234.68375182376,81560.63341483563,82797.08801716469,83934.75129415437,84982.18202528109,85946.66217097461,86837.90339595551,87657.74971107254,88411.62654577226,89083.25709433631,89677.4894005549,90193.36585075874,90638.71205693421,91025.18654422113,91355.42937948693,91638.91207029522,91884.145731147,92095.2487990645,92274.20840370363,92424.27165717144,92550.15627309201,92655.94326242,92745.20536693234,92819.54309839099,92881.20883811412,92932.36065211466,92974.86242501486,93010.26431327828,93039.83686889922,93064.61602017657,93085.44535577712,93103.01221514934,93117.87739896025,93130.49927724856,93141.25324414222,93150.44739149799,93158.33513725958,93165.12540893679,93170.99086557902,93176.07454536213,93180.49524830416,93184.35190156823,93187.7271053301,93190.69001776318,93193.29870626729,93195.60206699745,93197.64139472775,93199.45166907678,93201.06261030746,93202.49954764334,93203.78413480168
95CI-down,250.0,289.77100049,333.4271105627226,389.0230411486133,458.62487690783763,534.6789340533826,616.9074837856307,721.5090692812739,851.2935855143569,1010.8790318504343,1200.51467213337,1428.3112858590173,1677.7490798225583,1948.1590516948745,2284.898696403364,2693.2543546461957,3171.7366509711374,3734.7059346942156,4393.661524014285,5099.413412158332,5891.183970144204,6774.597674501253,7708.892175779792,10063.603045819938,12078.003275677625,13816.367269297692,15337.383161882704,16686.73422630049,17923.624165697172,19087.640252641646,20204.553844414433,21288.23037705243,22353.601055356037,23405.651877395732,24445.25141640738,25479.102822825556,26504.750812306473,27519.127417755262,28512.252237753408,29487.0819245267,30441.021545418964,31371.893810626265,32276.463400900255,33151.00614507043,33989.13235189045,34788.06084380143,35548.64041771639,36264.87307050526,36935.83084238062,37559.14583683642,38142.79403760453,38682.84512121722,39182.70383095035,39645.33707827592,40074.791717065134,40471.86286715949,40838.8486831368,41168.78833592827,41463.539159386855,41722.499119587024,41948.848475289546,42147.53627910238,42319.64010004373,42469.28005438857,42600.2411017213,42714.37987380481,42812.57355793492,42896.26908309121,42967.62651897784,43028.551076800686,43080.74614744886,43124.96816083633,43162.30628038573,43193.82563157311,43220.4649690008,43243.02101124694,43262.160110870056,43278.436612466874,43292.311034747254,43304.16607712876,43314.320120762844,43323.03842463163,43330.542349290394,43337.016939495676,43342.61715661171,43347.47300481362,43351.693752052226,43355.371410075415,43358.583607478824,43361.39596498145,43363.864061973196,43366.03506701722,43367.94909170057,43369.64031642544,43371.1379279466,43372.46690130351,43373.64865295974,43374.70158719776,43375.64155392168
