street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.7819846062196,340.08333451217044,401.25607722376725,478.74415385084166,563.7964653455571,656.1977035551926,775.3591835720919,924.7606080021679,1110.2260025754786,1332.388006820896,1601.6714968953704,1897.949448880028,2220.7580869655176,2627.798910840456,3126.0959214701447,3714.436863272653,4412.1977056188,5235.272777347287,6120.036710302637,7119.350319714091,8241.219308494154,10125.0,12827.600060145716,15207.54437022875,17293.385200647026,19137.18469599033,20784.431162026503,22305.462622727624,23745.411339444043,25132.037198339538,26478.383643478082,27800.13959434788,29100.122982167853,30377.251082502877,31638.1204976459,32877.8770612703,34091.295251583266,35265.28031243495,36403.18266149519,37501.55100108696,38557.416391756735,39566.95850168583,40526.32811875265,41428.46398741845,42270.716588472504,43054.96649675904,43777.411541063084,44439.03896172413,45038.73311084563,45587.72359247945,46083.25187060405,46530.6220422515,46934.55299408681,47300.856139305826,47631.4651075413,47929.42955523006,48189.571600634335,48415.29091004973,48607.77422940933,48771.23273111866,48910.85892848603,49028.506494138375,49128.1387432434,49213.203536435416,49285.522255464886,49346.2011383568,49396.716246564734,49438.88091642258,49474.17340475242,49503.83741735854,49528.50305515368,49548.98971167994,49566.03569725814,49580.257040377466,49592.15749575311,49602.14710669648,49610.55964245214,49617.66718261361,49623.691948411746,49628.81582359742,49633.18800564252,49636.93115873072,49640.14636858504,49642.917138663855,49645.312618449105,49647.390215722284,49649.197713932976,49650.77499134809,49652.155419288356,49653.36700135237,49654.43330326495,49655.37421321126,49656.2065647137,49656.94464787025,49657.6006297779,49658.18490096141,49658.70636141235,49659.17265726017
95CI-up,250.0,295.57673241,346.3212031266496,413.2027073511409,499.30486875095704,594.5424669399233,698.9890282233447,837.0845635602402,1013.7929010392214,1237.7663369908423,1511.4870469130842,1851.3947181407466,2231.608833943455,2653.9603100864642,3209.0422457538416,3912.790318580009,4771.843712898367,5831.061718995505,7134.3016578913,8576.728914664542,10283.959842199878,12293.58498056112,14504.832362574642,19971.83446848567,24468.032547903058,28235.157561150543,31454.603151151605,34256.62892426957,36790.49068058757,39151.815014714964,41399.82722168646,43564.535365974254,45677.29965780765,47746.111371228275,49771.36504717717,51765.450855931565,53721.229265301154,55630.778452925966,57473.15006318474,59254.54677946022,60969.75562093696,62614.330637227795,64182.42542142579,65668.17909506301,67060.5498906518,68355.76363139419,69557.36223310567,70659.68298702595,71664.84091432541,72571.53507211682,73398.17764351798,74140.68224527371,74807.82139050856,75407.333589224,75948.5892015546,76434.8008971324,76870.89904100774,77249.0915480433,77574.94747553927,77850.60613384563,78082.78645400614,78279.57974768025,78443.98702309653,78582.08716156334,78699.1047753701,78797.82381605115,78879.96644247968,78947.76474499893,79003.8921469785,79050.50660536556,79089.40211228031,79121.50388731566,79147.97892514971,79169.86448087117,79188.01625390972,79203.12654234224,79215.7530595896,79226.3452488374,79235.26595392106,79242.80878111946,79249.21190951053,79254.66906525557,79259.33825017724,79263.34869479711,79266.80640664641,79269.79860572812,79272.39727698595,79274.66202101164,79276.64234609583,79278.37951479413,79279.90803464752,79281.25686416736,79282.4503905852,79283.50922432943,79284.4508460649,79285.2901349045,79286.03980066822,79286.7107385095,79287.3123206067
95CI-down,250.0,289.77100049,333.4271105627226,388.9623680477601,458.374230466109,534.1249248684659,615.904322775044,719.6196612078259,847.9436630073432,1005.289634197039,1191.7660985826772,1415.1377781938097,1659.2194269428905,1923.2324373263186,2250.7119905244535,2646.427801441579,3108.6547563516374,3650.701868661918,4283.053733374933,4958.7362302448355,5714.412478303305,6554.80417711391,7441.252178623958,9671.574572009493,11574.524895594059,13212.65403291379,14641.837248469828,15905.274528022379,17057.900524978846,18136.152073451496,19163.440626698743,20152.18954630257,21115.581273555526,22057.576136249205,22978.950831170743,23885.163327453392,24773.788904664496,25641.887608841927,26481.082840259205,27293.770977897348,28077.809586465544,28831.31950836506,29551.818393971647,30236.77373262905,30881.49452128211,31484.184421578553,32046.06574186747,32564.623529479693,33040.50627489809,33472.98734015437,33869.5435182237,34228.444199630736,34553.27446698795,34847.26141468528,35114.37682768774,35356.02570097672,35574.34233319614,35765.94823091812,35933.13717895459,36076.735386072585,36199.59774076328,36305.26804404673,36395.05193522939,36471.686599514316,36537.578347354654,36594.02617714283,36641.82789483981,36682.03175940293,36715.927116039056,36744.576743803,36768.884393995984,36789.31484506549,36806.47048345754,36820.89918677353,36833.06321112068,36843.344953546846,36852.05931549416,36859.46561562379,36865.777699665254,36871.17224043677,36875.795492401136,36879.768779944476,36883.19295973813,36886.15205389521,36888.716212672865,36890.9441344201,36892.885045500494,36894.580322920694,36896.0648263867,36897.36799367797,36898.51474293326,36899.52621716519,36900.420399659924,36901.2126235465,36901.915994486415,36902.541741927,36903.09951152433,36903.597609039745,36904.043204144575
