street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.78198460621957,340.08333451217044,401.2161967822323,478.5794098814782,563.4323624230003,655.5378049681751,774.1110455815766,922.5381139556033,1106.5011026648378,1326.5317074435882,1592.8085575434295,1885.4315870750715,2203.8519959462733,2604.462444063742,3093.9055249860326,3670.7795714655444,4353.667010518096,5157.683962523554,6020.8226540609785,6993.988013948498,8084.475846446769,9239.85161007886,10411.800902775843,11554.061838021167,12681.45361455159,13807.376878636876,14938.114040185754,16072.613421340979,17217.706535623376,18382.783138748397,19585.220545639364,20914.012835377478,24741.891933282168,28628.270763867637,31796.333038655688,34468.669097489124,36789.62380578283,38843.1259465301,40698.90325185612,42396.50804894816,43961.45659722691,45408.728274067624,46747.14328232791,47976.984085010234,49101.55880833867,50128.42741962529,51057.941648437016,51895.07013124878,52641.27032700245,53313.56642722983,53910.7512882397,54441.37025508379,54912.97757556559,55334.20655438193,55708.66888097007,56040.95760877916,56326.5978425801,56570.77210312806,56776.14353736325,56948.33873562865,57093.64048119157,57214.73151221234,57316.2143833545,57401.98970521615,57474.22756373465,57534.36271189623,57584.13236914549,57625.48759996577,57659.97350393343,57688.86316000449,57712.845928347255,57732.770666560325,57749.3736890152,57763.25782521493,57774.911355954726,57784.72953793619,57793.032878804144,57800.08187586048,57806.0887838891,57811.227001858126,57815.63856883004,57819.44015978006,57822.727890034184,57825.58117207492,57828.06581737229,57830.23653573827,57832.138953101916,57833.811243699696,57835.28545302081,57836.58857231155,57837.74341314342,57838.76932079899,57839.68275748617,57840.497780234924,57841.226433427204,57841.879072000185,57842.464628239744,57842.990832582786
95CI-up,250.0,295.57673241,346.32120312664966,413.1573379599494,499.1167996797071,594.1258088066054,698.2306577295429,835.6339147940315,1011.1802566995971,1233.3351440344663,1504.4347749199694,1840.5706672799809,2216.131970093036,2632.792182626474,3179.2129964001692,3870.6691314766376,4713.341840519787,5750.5739519882745,7024.572446977948,8432.93286609296,10097.161010853848,12052.859770756135,14201.810867900045,16444.776208231102,18672.91277924099,20932.863735891886,23267.316758186495,25698.84716218124,28228.125436578477,30881.79652931904,33697.05220597642,36742.39379110456,40356.56252746194,50495.34113195377,60184.90601130947,67927.75567111754,74341.62205401486,79824.75605454028,84611.13991181161,88888.05583469279,92763.06226551297,96305.56149655339,99557.0798401695,102542.86828360769,105267.24022006607,107740.95776772765,109984.0348834482,111999.69249155048,113801.50776347533,115394.87491892702,116819.89421692587,118075.47319992201,119182.07134410267,120157.62923250574,121022.13742209047,121784.41968441088,122455.24441382018,123026.03147060916,123508.76268178897,123910.0147100744,124242.36947148155,124519.4725913052,124747.46572132429,124936.13924682546,125093.67136577988,125224.70197906067,125332.35938583822,125420.26767623589,125492.35285480184,125551.69064131753,125600.77780919189,125641.00696244204,125674.01065570301,125701.17971600666,125723.63647187066,125742.27752814988,125757.81888124143,125770.83338215057,125781.78050172969,125791.02977652386,125798.8792644543,125805.57008997773,125811.29792651994,125816.22207753829,125820.47267192611,125824.15637633447,125827.36093911681,125830.15881228192,125832.61004464298,125834.76459787214,125836.66420477931,125838.34386380456,125839.83304387661,125841.15665823217,125842.33585357334,125843.38865132854,125844.3304702127,125845.1745533111,125845.93231819311
95CI-down,250.0,289.77100049,333.4271105627226,388.9276977044155,458.23125252710815,533.809293654627,615.3335872502895,718.5472330982946,846.0465674733402,1002.131144011335,1186.8323531296733,1407.7236076609563,1648.808496267796,1909.249922105784,2231.5775654187805,2620.28231078948,3073.516297730577,3604.0206627050316,4221.736219650047,4880.908742372039,5616.820323690294,6433.720323636775,7294.102918157272,8163.811320720535,9010.644345374589,9844.437204647596,10674.146140314948,11503.964164611878,12333.177037579462,13166.353906006785,14009.759679686602,14874.929729502635,15820.648921938046,18482.63220897056,21216.6733162764,23476.846131492763,25403.829704030595,27090.15860589801,28590.23508962603,29950.253292094963,31196.871789773533,32347.618105653295,33413.0242188698,34399.4562002454,35307.431924664525,36139.429488584276,36900.784041234074,37591.89364693699,38216.254631866745,38774.951352906326,39279.73603270847,39729.91853139556,40131.46984573139,40489.71253611817,40810.741625440736,41097.189343831116,41352.359067192825,41573.190269665836,41763.318882975764,41924.62422613816,42061.085858887986,42177.19195169033,42274.884393641,42357.50014707134,42427.900068144,42487.69859422315,42537.96894323836,42580.00965384665,42615.29130477439,42644.99248188757,42670.09605879586,42691.1395886754,42708.788559306304,42723.62691383633,42736.1386217466,42746.72053665219,42755.69784037167,42763.337398266456,42769.858675106014,42775.44255892675,42780.23848551317,42784.370197188146,42787.940405347894,42791.034572091754,42793.72398288485,42796.06824767808,42798.1173404933,42799.913265679665,42801.49142168246,42802.88171931209,42804.109500430815,42805.1962941146,42806.160440243526,42807.01760477145,42807.78120633823,42808.46277019425,42809.072222426905,42809.61813507095,42810.107930738195
