street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.78198460621957,340.08333451217044,401.2161967822323,478.5794098814782,563.4323624230003,655.5378049681751,774.1110455815766,922.5381139556033,1106.5011026648378,1326.5317074435882,1592.8085575434295,1885.4315870750715,2203.8519959462733,2604.462444063742,3093.9055249860326,3670.7795714655444,4353.667010518096,5157.683962523554,6020.8226540609785,6993.988013948498,8084.475846446769,10125.0,12827.600060145716,15207.54437022875,17198.367692025506,18929.767105727035,20485.588041173778,21917.64421425702,23265.245646605174,24556.146149916563,25813.3642857706,27084.273601989997,28380.501433629623,29706.389402625202,31054.38253829519,32410.57390941059,33737.61141732248,35029.633097971455,36333.95735540913,37624.960211525555,38900.37968302647,40149.14849714829,41372.21520536445,42528.00135142706,43605.755755713995,44632.772978476714,45604.41120223036,46520.29442541506,47376.24196912075,48188.50422027447,48926.45748409416,49596.65028520432,50219.42225466328,50803.15953972365,51344.92691639706,51843.933358411494,52289.237146590305,52677.8701367518,53011.075650465355,53300.08453366203,53552.97086278089,53770.20437704794,53957.52182036124,54121.83125453913,54263.00181511908,54381.79656293104,54481.92280458097,54566.82545643762,54639.04296097702,54700.54973816202,54752.08811660326,54795.225546066686,54831.39702987299,54861.80134606062,54887.42447281625,54909.07597623707,54927.42128223414,54943.008243799064,54956.288724022656,54967.63610279555,54977.3594892301,54985.71527537795,54992.91654235677,54999.14072945753,55004.535896333524,55009.22584401907,55013.31430901588,55016.88840339889,55020.02144075855,55022.77526116497,55025.20214690551,55027.3464034751,55029.24566635776,55030.9319828736,55032.43270925115,55033.77125569897,55034.96770625948,55036.03933536079
95CI-up,250.0,295.57673241,346.32120312664966,413.1573379599494,499.1167996797071,594.1258088066054,698.2306577295429,835.6339147940315,1011.1802566995971,1233.3351440344663,1504.4347749199694,1840.5706672799809,2216.131970093036,2632.792182626474,3179.2129964001692,3870.6691314766376,4713.341840519787,5750.5739519882745,7024.572446977948,8432.93286609296,10097.161010853848,12052.859770756135,14201.810867900045,19508.750134123613,23867.99740496675,27382.390797107277,30338.38522220849,32921.07953606761,35246.13863958908,37397.40385788351,39432.70644134771,41397.456630965906,43372.962338896854,45380.53393050367,47428.617332468006,49505.91939896776,51590.7787732568,53624.09146999301,55597.646538883804,57587.70961593436,59553.09086518224,61490.364199839576,63382.12757634016,65230.1552630604,66969.17604311886,68583.36569693727,70116.42999760422,71561.41489687837,72918.13736131806,74180.50914999929,75374.09205521617,76452.22145035156,77425.86903214984,78326.61975101336,79167.4562962681,79944.18575182692,80655.97027242913,81286.91183022293,81833.36473068038,82297.96003268904,82697.78804539208,83045.07670244292,83340.96331950242,83594.08542056056,83814.55206286581,84002.49634069821,84159.30665920438,84290.37564539799,84400.64357005438,84493.73571234847,84572.4561437254,84637.93007693776,84692.3458880276,84737.67689819343,84775.55331749655,84807.30215022294,84834.00210096277,84856.53121132504,84875.60557190605,84891.81041915991,84905.62508682047,84917.44304702015,84927.58803144672,84936.32701994987,84943.88072229241,84950.43205076085,84956.13298009809,84961.11011102694,84965.46919002614,84969.2987875004,84972.67329629988,84975.655380533,84978.29797908379,84980.64594784753,84982.73740838392,84984.60485761816,84986.2760827392,84987.77491702422,84989.12186554805
95CI-down,250.0,289.77100049,333.4271105627226,388.9276977044155,458.23125252710815,533.809293654627,615.3335872502895,718.5472330982946,846.0465674733402,1002.131144011335,1186.8323531296733,1407.7236076609563,1648.808496267796,1909.249922105784,2231.5775654187805,2620.28231078948,3073.516297730577,3604.0206627050316,4221.736219650047,4880.908742372039,5616.820323690294,6433.720323636775,7294.102918157272,9456.784651927355,11299.285828215257,12828.714129095417,14143.442256925699,15309.061938670378,16367.821391125974,17351.61528315914,18283.289490407893,19181.420662142216,20079.380997147426,20987.141134822614,21909.337361780108,22842.39970367393,23778.1882366557,24693.06187657945,25583.294041292043,26479.396374152177,27365.23058997706,28239.395471932894,29094.801199233953,29932.000458241044,30724.30237807789,31464.526925361875,32169.907351006477,32837.543430542304,33467.22671422898,34056.32286466924,34615.24060278513,35124.55483775224,35588.33931580509,36019.59772295399,36423.86290756604,36799.436629428754,37145.91485851632,37456.35166121424,37728.80272140068,37964.01744877061,38169.20154847744,38349.62325745526,38505.661030939904,38641.07393449795,38760.42620898666,38863.68717787877,38951.37142666565,39025.94035576701,39089.70560626132,39144.39041597717,39191.34659984399,39231.08849009505,39264.69197378625,39293.152476461466,39317.31042511913,39337.86427425144,39355.39344294882,39370.37909446359,39383.22144506124,39394.25396534842,39403.75500950759,39411.95734598801,39419.055979159224,39425.214578030515,39430.57076813965,39435.24049427085,39439.321622609365,39442.89691942821,39446.036517944885,39448.79996438534,39451.23791760197,39453.39356304681,39455.30379089491,39457.00017915498,39458.50981530538,39459.85598403648,39461.05874381262,39462.13541098344,39463.10096691094
