street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.78198460621957,340.08333451217044,401.2161967822323,478.5794098814782,563.4323624230003,655.5378049681751,774.1110455815766,922.5381139556033,1106.5011026648378,1326.5317074435882,1592.8085575434295,1885.4315870750715,2203.8519959462733,2604.462444063742,3093.9055249860326,3670.7795714655444,4353.667010518096,5157.683962523554,6020.8226540609785,6993.988013948498,8084.475846446769,10125.0,12827.600060145716,15207.54437022875,17389.319561253193,19491.39378887555,21573.05850855667,23648.73882947652,25756.25422005379,27935.313871933773,30250.347911400786,33028.623283984525,36407.727479467,40487.44614014925,45282.87338769474,50747.25874951482,56448.19939189206,62414.9896165517,69781.85541647351,78139.63580136493,87806.34144983854,98823.52319112011,111724.69997400371,125110.1099767317,138872.12473136603,155165.2544594493,173596.5018666075,194517.93935684697,218588.53611871926,247029.5217716155,275599.3942401289,304933.8225035146,339216.6775068288,378889.2126673018,423122.88868641056,471938.95093955565,524624.3525003825,575932.6825527557,625133.9327574664,677674.2847045544,733786.2779038498,790740.1398170642,848811.252601793,912128.6581180199,972602.2863486129,1027465.7827987872,1081076.5737764495,1133724.2771237644,1185347.9118899328,1235376.2159855235,1281574.8315318956,1324161.3868524411,1363379.910615377,1399472.621132323,1432672.1406455403,1463199.8130748684,1491264.7461099084,1517063.294989339,1540778.8891592633,1562582.1301865415,1582631.0978876548,1601071.8098662705,1618038.7881354976,1633655.6947425823,1648036.005909122,1661283.7009195816,1673493.9477454734,1684753.7721885883,1695142.7012301642,1704733.3743818682,1713592.1192596322,1721779.4894536203,1729350.7641502738,1736356.4099676525,1742842.506172382,1748851.134921904,1754420.7384739812,1759586.445470508
95CI-up,250.0,295.57673241,346.32120312664966,413.1573379599494,499.1167996797071,594.1258088066054,698.2306577295429,835.6339147940315,1011.1802566995971,1233.3351440344663,1504.4347749199694,1840.5706672799809,2216.131970093036,2632.792182626474,3179.2129964001692,3870.6691314766376,4713.341840519787,5750.5739519882745,7024.572446977948,8432.93286609296,10097.161010853848,12052.859770756135,14201.810867900045,19508.750134123613,23867.99740496675,27654.46058551716,31153.90896277644,34520.97035865071,37815.28778220282,41118.910895314984,44508.02602780521,48092.545446096854,52396.96578922287,57634.53139995354,63955.76095960803,71375.14558804642,79809.50181412777,88567.59615739371,97697.74725379357,108979.35108288407,121738.4135169219,136450.90142126294,153152.86185415724,172636.60461040217,192714.94044255288,213221.65223831063,237409.0328033286,264618.1189204897,295320.11488727835,330424.55634288327,371648.92383216444,412704.8536839577,454530.2130933102,503125.5063229137,559001.3826559512,620856.9675609976,688616.430781996,761155.0629667465,831146.2499848461,897639.4813281364,968066.7574038542,1042650.5582654244,1117645.800594735,1193399.0332918442,1275270.8467464775,1352673.3869412849,1422149.8805848302,1489342.3232260593,1554650.4737215175,1618030.6646101067,1678819.429264255,1734339.277953853,1784958.3320631136,1831068.4579610778,1873048.2435161266,1911253.6609536868,1946016.8136220095,1977645.6863412822,2006424.4654637638,2032614.2649050755,2056454.1418949387,2078162.3067283945,2097937.4487624452,2115960.117340707,2132394.1108324896,2147387.839299768,2161075.636451123,2173579.0046600476,2185007.7831546008,2195461.2342963377,2205029.046426706,2213792.2543149083,2221824.0800078707,2229190.6980420845,2235951.929677549,2242161.8711753315,2247869.4612564016,2253118.9928230606,2257950.5738510075
95CI-down,250.0,289.77100049,333.4271105627226,388.9276977044155,458.23125252710815,533.809293654627,615.3335872502895,718.5472330982946,846.0465674733402,1002.131144011335,1186.8323531296733,1407.7236076609563,1648.808496267796,1909.249922105784,2231.5775654187805,2620.28231078948,3073.516297730577,3604.0206627050316,4221.736219650047,4880.908742372039,5616.820323690294,6433.720323636775,7294.102918157272,9456.784651927355,11299.285828215257,12939.719547172523,14476.5964069669,15964.392119049213,17423.926835692833,18886.662525123487,20383.05157278592,21957.79342268432,23821.612792508393,26066.072951548565,28757.15496854657,31905.437333998587,35480.78698002012,39210.51064689665,43108.93060153389,47878.96523374851,53271.475906899854,59480.48918085989,66530.28828466841,74745.53745908312,83270.1278057091,92029.41507957189,102326.6639690497,113934.16698289548,127064.27132155559,142113.9725569445,159821.95680915983,177646.65910328904,195948.33720913844,217228.55705294124,241781.65055110195,269129.1178750205,299292.2813844353,331858.2130118379,363697.42913322756,394358.28149099834,427139.9334292644,462251.97716251813,498098.3929959325,534905.8076033826,575356.1180878448,614389.6452477527,650225.2319494189,685744.9546962669,721140.0703773118,756401.9173681467,791149.9353356942,823782.1801039409,854411.5903132065,883137.5739983341,910064.0202795753,935291.7153220414,958918.1076413868,981037.0646102618,1001738.7165898228,1021109.3463120196,1039231.3193050865,1056183.0517406822,1072039.012260988,1086869.7542555644,1100741.9749760856,1113718.5978435902,1125858.8743350673,1137218.5019386671,1147849.754835552,1157801.624191444,1167119.965208762,1175847.6483864246,1184024.7127446623,1191688.5190841162,1198873.9016517098,1205613.316872332,1211936.9880697636,1217873.0453390165,1223447.659943715
