street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.7819846062196,340.08333451217044,401.15637611992986,478.33268386795305,562.887689311809,654.5518733530623,772.2502064736806,919.2313863905536,1100.9697766691688,1317.8510285840648,1579.694989814046,1866.9384027156798,2178.9120138564867,2570.1052394052494,3046.6164960300325,3606.7810568752802,4268.048387276717,5044.4309534515605,5876.268678143189,6811.677341989785,7856.9666059261335,10125.0,12827.600060145716,15207.54437022875,17290.082994415727,19125.451218251237,20757.98512456983,22255.73435661038,23661.82455625301,25002.234919236253,26288.86837741848,27535.959074688926,28745.30528261547,29916.17680799441,31054.085811036755,32154.57378476195,33212.99122171949,34218.749746311114,35175.14911645505,36079.972299438545,36931.343171126944,37727.17793132778,38465.92788178435,39143.51548606537,39759.4292270094,40316.878683251816,40816.64092079654,41261.935179473134,41654.06163027312,42003.26128763158,42309.53855455926,42578.22095680637,42814.01219309245,43022.09301599439,43204.80975651688,43364.88272388927,43500.66795175993,43615.36472774269,43710.835854883946,43790.18750424654,43856.62739993228,43911.6074795182,43957.40247458888,43995.88972629626,44028.11732610654,44054.8131640805,44076.83797322056,44095.1044906221,44110.31206221182,44123.02978576932,44133.57255091303,44142.332716612145,44149.636983509925,44155.74942926094,44160.883333138256,44165.21131149041,44168.873415514914,44171.98356616691,44174.63467339074,44176.90271604845,44178.849999673424,44180.527762670434,44181.97826525771,44183.23646704044,44184.33137685367,44185.287141050125,44186.123922680614,44186.85861320443,44187.5054098389,44188.076284920164,44188.581368313964,44189.02925968916,44189.427284110134,44189.78170173639,44190.09788029226,44190.38043727466,44190.633357513245,44190.86009061355
95CI-up,250.0,295.57673241,346.3212031266496,413.0892838731621,498.8351396797834,593.5025093353556,697.0975820494641,833.4710804351822,1007.2927842934365,1226.7542957999287,1493.9797806400707,1824.5523927567347,2193.2620195079007,2601.5565652280593,3135.2841299354745,3808.770647631746,4627.547218863612,5632.777988802369,6864.308886384865,8223.272375406137,9825.278567511632,11703.121587863912,13762.295923159489,18838.952912351033,23001.54667844316,26478.566719408816,29438.696593488923,32002.342450757504,34304.65580197416,36431.41054932127,38434.93891412204,40341.47297705348,42177.917348046765,43950.25458735425,45659.525728270906,47315.60375681041,48912.61589737549,50444.22120110084,51894.98365431999,53270.56843368844,54568.08225917906,55785.11255929335,56918.91980126106,57967.57877581635,58925.39260474768,59792.05301676852,60572.76393809777,61269.08235433588,61886.16275674196,62426.283036409055,62904.76767672935,63321.85532360294,63685.51953369284,64002.74131933082,64281.10509005317,64524.08366832044,64735.65137987864,64913.651909636974,65062.74553637909,65185.697493529995,65286.94152368153,65370.97264365842,65439.86591495089,65496.74995421788,65544.17505527113,65583.57202531073,65615.93872873293,65642.42719363673,65664.23378223678,65682.2664970618,65697.25562078385,65709.60874856415,65719.82045755553,65728.2977760026,65735.3662608147,65741.28621032528,65746.26627941687,65750.47421963273,65754.04531312507,65757.08900476825,65759.6941279314,65761.9330308078,65763.86484159,65765.53805783273,65766.99260443378,65768.26147298727,65769.37203069765,65770.34706795191,65771.2056387882,65771.96373691055,65772.63484084734,65773.2303547688,65773.75996592587,65774.2319353149,65774.65333474377,65775.03024077471,65775.36789388805,65775.67082952667,65775.94298634719
95CI-down,250.0,289.77100049,333.4271105627226,388.8756921893985,458.0171246175759,533.3371338482444,614.4808791006913,716.9483852666185,843.2240792997504,997.4411690192829,1179.5196932763802,1396.7546131507545,1633.4295700033442,1888.6251143883142,2203.4097798941116,2581.8774261369667,3022.0113529200535,3535.7433047866302,4132.244645896271,4767.5300779458275,5474.914643938104,6257.993998631766,7080.928584029013,9146.58794753051,10902.58019322936,12409.034041259114,13718.100360533443,14869.742955345648,15913.471577881299,16881.80746687319,17795.33271978697,18664.855654020368,19501.62953213529,20308.683770477764,21086.944938503184,21840.754891468176,22568.119572980275,23266.68735382326,23930.30079714802,24561.148040926764,25158.029235232105,25719.90483368696,26245.57647651516,26734.149216161095,27183.166031096855,27592.32345928141,27963.60117042904,28297.515472479678,28596.077514545406,28860.13678004249,29096.028367770567,29303.85750118509,29486.973672490378,29648.361225566023,29791.310634302266,29917.36726574879,30028.298260542662,30123.136832920805,30203.90695711997,30271.80382573395,30328.808576096602,30376.98515484325,30417.28680070949,30451.199795885594,30479.966245361902,30504.2919886497,30524.670211228444,30541.6826002182,30555.951266981963,30567.959372355082,30578.10512369424,30586.611460743887,30593.757281425726,30599.77788914882,30604.865993210296,30609.179262198206,30612.846949419047,30615.975258182614,30618.651658881772,30620.948366242217,30622.925145229856,30624.631579534307,30626.10890905384,30627.39152109957,30628.508162880476,30629.482929246806,30630.33606889345,30631.08464366113,30631.743068754546,30632.32355625886,30632.836479990518,30633.290676241897,30633.693692191442,30634.051991513108,30634.3711249191,30634.655871919913,30634.91035891619,30635.138157791716,30635.342368412177
