street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.7819846062196,340.08333451217044,401.26006526792077,478.7606396860299,563.8329191349966,656.2638085605221,775.4843322731158,924.9836544882406,1110.6001480700702,1332.9767074129468,1602.5631497282602,1899.2096492786038,2222.4611464144373,2630.1518238680637,3129.344668103084,3718.847006258836,4418.115900392014,5243.125436901553,6130.086129422354,7132.05878095948,8257.122503899032,10125.0,12827.600060145716,15207.544370228752,17293.517288896284,19137.655662771638,20785.49644600153,22307.4737354739,23748.806213422486,25137.332980279607,26486.15217205927,27811.02226872421,29114.815644244674,30396.445592110507,31662.568718222556,32908.32898166187,34128.49277666616,35309.87159677407,36455.835146884056,37562.8950516514,38628.05375357141,39647.43155758771,40617.08999568477,41529.84895127755,42382.97877249908,43178.31301660754,43911.81691990474,44584.364473445035,45194.722611677505,45754.14426434195,46259.725128697246,46716.75202794698,47129.92537663318,47505.06458330459,47844.065832731474,48149.98595849518,48417.43465133248,48649.79595474136,48848.18721303621,49016.854940053774,49161.0864380028,49282.736842529324,49385.85715440445,49473.98006743833,49548.96467398387,49611.93005376016,49664.38188622665,49708.18535038715,49744.86586851296,49775.70963060125,49801.3645998253,49822.67663341436,49840.4106562089,49855.20618677353,49867.58673612153,49877.9786749693,49886.7291897878,49894.12137332379,49900.38649178954,49905.713866519676,49910.25881983479,49914.14906774698,49917.489869678604,49920.3681831984,49922.85602140847,49925.01317046781,49926.889392868754,49928.52621679656,49929.95839182035,49931.21507519383,49932.3208003276,49933.29626885425,49934.15899960838,49934.92386136769,49935.60351101429,49936.20875461602,49936.74884558725,49937.231731402506
95CI-up,250.0,295.57673241,346.32120312664966,413.20724429026006,499.3236886705487,594.5841823128842,699.064996995147,837.230015499046,1014.0550947081479,1238.2114046734994,1512.1959255970207,1852.4835763754402,2233.1667642416987,2656.0924635093706,3212.049415119529,3917.0406790978336,4777.752346782328,5839.1982558991,7145.404229439557,8591.289396415703,10302.889348912575,12317.998662768416,14535.586484834472,20018.891712130848,24529.050702509096,28308.340963310107,31538.687958505434,34350.76653906479,36894.43481782081,39265.74572854495,41524.229507717406,43700.06875825277,45824.83165614002,47906.61739686757,49945.80785911885,51954.92776875149,53926.80509932849,55853.47358561505,57713.756768222804,59513.90734520775,61248.6309004368,62913.41697753136,64502.299726598256,66009.25066944234,67422.99605075517,68739.61873746604,69962.59647511209,71085.87080426494,72111.38469891647,73037.64740450712,73883.17740441138,74643.64312659197,75327.82493982353,75943.4632211741,76499.97823165153,77000.53796295518,77450.10489365131,77840.52935763604,78177.38408615759,78462.71633332131,78703.33311666509,78907.50874098585,79078.2639714332,79221.8394511918,79343.611874598,79446.43597663063,79532.06367160894,79602.7835205137,79661.35867720841,79710.02667720256,79750.65170910349,79784.19030600139,79811.85331909976,79834.72081230015,79853.68557042252,79869.47064246412,79882.65884339149,79893.72000740826,79903.03353162624,79910.90647247896,79917.58795460427,79923.28062755759,79928.14978206827,79932.33061454818,79935.93402584722,79939.05125833004,79941.75761086389,79944.1154207146,79946.17646164633,79947.98387634089,79949.5737367256,79950.97630648049,79952.21706475745,79953.31753810303,79954.29597805206,79955.16791431211,79955.94660746852,79956.64342038166,79957.26812365923
95CI-down,250.0,289.77100049,333.4271105627226,388.9658350820946,458.38853820397594,534.1565257827144,615.9614961522585,719.7271925684208,848.1340558171645,1005.6068946026564,1192.2620760695559,1415.883707606275,1660.267566058886,1924.6410554480703,2252.6413197333604,2649.066599177447,3112.204521136368,3655.4221739204622,4289.2599385460935,4966.6198783854525,5724.306394969616,6567.090109435565,7456.194628996084,9693.415703122171,11602.537491484098,13246.208779047405,14680.46081501424,15948.630414289662,17105.885126071935,18188.832119848223,19221.00861005506,20214.912757002785,21183.81715621724,22131.731337883837,23059.4320153267,23972.43644570943,24868.310724055773,25744.099585601307,26591.33479864115,27412.43319331923,28205.219700845028,28967.788859874316,29697.60934187414,30392.07930129036,31046.410989476622,31658.746586220797,32230.27921252666,32758.328978759786,33243.46848505589,33684.888104946716,34090.10241152514,34457.27711295258,34789.99583587248,35091.482833614486,35365.72733100538,35614.113869422654,35838.78821755963,36036.22016768433,36208.69875609462,36357.00552780245,36484.02652253051,36593.37913892984,36686.37436722881,36765.81651809597,36834.17673998323,36892.784298835555,36942.448709324715,36984.241629289005,37019.491680746905,37049.29741965782,37074.59496089932,37095.86314751082,37113.72469859194,37128.74793122358,37141.41325292986,37152.11845642278,37161.19128583878,37168.901716124376,37175.47242652864,37181.08741728142,37185.89902870678,37190.03364751299,37193.59634807893,37196.674672368026,37199.34171308225,37201.6586325799,37203.67672421954,37205.439102061275,37206.98208824953,37208.33635408659,37209.527860116825,37210.57863194791,37211.50740161543,37212.33013871743,37213.0604910392,37213.71015074453,37214.28915925768,37214.80616156589,37215.26861872882
