street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.78198460621957,340.08333451217044,401.2161967822323,478.5794098814782,563.4323624230003,655.5378049681751,774.1110455815766,922.5381139556033,1106.5011026648378,1326.5317074435882,1592.8085575434295,1885.4315870750715,2203.8519959462733,2604.462444063742,3093.9055249860326,3670.7795714655444,4353.667010518096,5157.683962523554,6020.8226540609785,6993.988013948498,8084.475846446769,10125.0,12827.600060145716,15207.54437022875,17333.625012512177,19327.259568521862,21254.510832059976,23140.621465700664,25022.269744653582,26933.382604825398,28921.81597853904,31204.833304811673,33861.08795481268,36938.31289048322,40426.20733799565,44275.47420038339,48224.24947781971,52273.758269517275,56992.60313357058,62154.544504640406,67870.44511693367,74116.70493478516,81072.06026296603,88108.68156975778,95144.00640602822,102953.38033172056,111365.98464813265,120438.36166016186,130285.01146333944,141245.7364858487,151993.68099755718,162673.75720146886,174369.44077122025,187192.51841007423,200856.91843949465,215273.16874895047,230072.1581541019,244145.98519289246,257288.76986388257,270551.483042212,284053.51555057184,297232.4211935247,310172.22520185035,323597.0318275331,336222.907810989,347561.62574763026,358292.5381070432,368544.4963857382,378355.9807624505,387683.870978238,396177.0903697673,403902.47882493935,410931.6818434461,417331.16621309647,423160.96014336194,428475.16773645097,433322.5465275181,437747.04224981525,441788.27248467674,445481.9625774113,448860.33804580884,451952.47753230773,454784.63006027875,457380.5000567671,459761.50331412116,461946.9967858869,463954.48485061567,465799.80443222105,467497.2911379254,469059.92836475425,470499.4811326824,471826.6162263076,473051.01006650843,474181.4455880144,475225.89926715085,476191.6193251956,477085.1960257516,477912.6248883038
95CI-up,250.0,295.57673241,346.32120312664966,413.1573379599494,499.1167996797071,594.1258088066054,698.2306577295429,835.6339147940315,1011.1802566995971,1233.3351440344663,1504.4347749199694,1840.5706672799809,2216.131970093036,2632.792182626474,3179.2129964001692,3870.6691314766376,4713.341840519787,5750.5739519882745,7024.572446977948,8432.93286609296,10097.161010853848,12052.859770756135,14201.810867900045,19508.750134123613,23867.99740496675,27575.10653597139,30915.565414376902,34052.33341370993,37061.31687728141,40022.664418423556,43003.66226012931,46088.429842656,49627.694748957896,53744.54386040979,58511.00122505964,63905.89783153676,69846.653326784,75914.84120141712,82114.92084670604,89344.50054320852,97233.03781260806,105947.06503696932,115439.61508474614,125978.91219673192,136579.99382128305,147118.47820733822,158783.26088918681,171294.80238823057,184725.1656741347,199230.89082517804,215304.11702164958,230949.046728869,246391.0898704823,263224.7271682224,281591.30513399275,301052.8379373083,321465.30469718284,342282.0494499603,361924.5719415531,380122.94502426847,398372.82496949413,416839.15215940104,434737.7346525921,452195.5186720734,470210.98346009053,487031.58408763504,502017.9688368903,516106.9020517992,529480.1823544494,542198.0021200039,554212.4601166933,565071.4715791686,574878.3530156945,583738.9811829706,591750.4392955876,598999.5832474761,605564.0122539905,611513.0625441918,616908.7095309674,621806.3723359576,626255.629728559,630300.8568953176,633981.7916561689,637334.037875393,640389.5130080514,643176.8459871353,645721.7309900561,648047.2420210914,650174.1127044345,652120.9851958577,653904.6316851841,655540.1515722277,657041.1470514042,658419.8795307627,659687.4090359764,660853.7185053707,661927.8246651117,662917.8769813288,663831.2460154758
95CI-down,250.0,289.77100049,333.4271105627226,388.9276977044155,458.23125252710815,533.809293654627,615.3335872502895,718.5472330982946,846.0465674733402,1002.131144011335,1186.8323531296733,1407.7236076609563,1648.808496267796,1909.249922105784,2231.5775654187805,2620.28231078948,3073.516297730577,3604.0206627050316,4221.736219650047,4880.908742372039,5616.820323690294,6433.720323636775,7294.102918157272,9456.784651927355,11299.285828215257,12907.342819504882,14379.227556091191,15772.45373632357,17114.08353043965,18434.7722615633,19761.35310521433,21128.12838340667,22676.495359852805,24460.22847627745,26512.262894344123,28827.39361530624,31374.486442068563,33987.44909925124,36664.79269325889,39761.78936150108,43139.113740384884,46864.867268229704,50923.67826125273,55424.9943456433,59980.25283236643,64534.31798552723,69560.62729895506,74957.55517084888,80759.23518982269,87034.68960107904,93990.66320695588,100822.65398879389,107611.3666404027,115009.39791833064,123090.25637464183,131683.97334810774,140735.33650186192,150020.07766305326,158871.39726585243,167158.742297579,175506.43191274058,183991.31845949334,192279.33794821883,200418.1677491177,208840.57058209198,216783.36144307166,223948.72584467012,230737.8450015024,237230.21997105225,243450.2894808717,249372.7284776691,254786.14152645273,259728.44246211898,264242.06862190634,268366.73171165783,272138.43217930815,275589.71991928446,278750.0166072584,281645.91838780197,284301.4711252458,286738.4195901522,288976.4327301128,291033.3071324255,292925.15065052983,294666.5480219988,296270.71016448195,297749.6086997142,299114.097125703,300374.0199342575,301538.31085556844,302615.08130385436,303611.6999981862,304534.86464038695,305390.6664471599,306184.6482560001,306921.8568536387,307606.89011133136,308243.93945281976,308836.8281278175
