street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.7819846062196,340.08333451217044,401.3478022392976,479.1238542195713,564.6369060891135,657.7234311905745,778.2530939202737,929.9276184057888,1118.908217252655,1346.0709488428647,1622.4292302440087,1927.3267473937071,2260.510387568569,2682.8184377493176,3202.211962669878,3817.9600785264965,4551.387278259832,5420.315655235502,6357.23360884547,7419.813555523834,8617.867803407136,10125.0,12827.600060145716,15207.54437022875,17296.42323037983,19148.04860880414,20809.07834087169,22352.151051037505,23824.512082337125,25255.90887739565,26660.83522471674,28056.825419942896,29448.252127072195,30834.177183809814,32222.963441459116,33610.05812618034,34990.43403069399,36349.055073855314,37690.18536348441,39009.905870103925,40305.07395059821,41570.9026094216,42801.736188214214,43988.03266495161,45125.72671079698,46216.093704794395,47248.89489767088,48222.12190412589,49131.75544355904,49989.07858540751,50787.31119858373,51531.01526101499,52223.9839508515,52871.580059469015,53474.3038905016,54035.29392632105,54542.458633659815,54997.93584910585,55399.712288148934,55752.13944879054,56062.69938858767,56332.356499057125,56567.45959626855,56773.8646308903,56954.21107720616,57109.468944898756,57241.65601655599,57354.14528897036,57449.976244193356,57531.90971549405,57601.03765908067,57659.075405548305,57707.74773976393,57748.593402918865,57782.92386754076,57811.83563262335,57836.23810093487,57856.88324270798,57874.39246562481,57889.27955788857,57901.96979542059,57912.81568222679,57922.10985851841,57930.09566988214,57936.975820436426,57942.919461588,57948.06800474975,57952.53989310585,57956.43452363564,57959.83547483581,57962.81316653758,57965.427054675325,57967.72744478387,57969.75699253344,57971.55194705907,57973.143182647276,57974.5570560541,57975.81611998309
95CI-up,250.0,295.57673241,346.32120312664966,413.3070569508814,499.73832547480566,595.5042033506718,700.7423871856564,840.4478602673242,1019.8664181840576,1248.0933509443046,1527.9610758691683,1876.7391069982166,2267.9191962368304,2703.716666640583,3279.3424898601015,4012.3434765242946,4910.49109830334,6022.337860557544,7395.782902058042,8920.17486879441,10731.1649728137,12871.291628033214,15233.663033015264,21089.84199117144,25919.88930401463,29978.448701552472,33459.63299866296,36503.6974995447,39274.566843668035,41878.37595714529,44382.01686836888,46820.05722116436,49229.33830047519,51621.01342552233,53995.55462839801,56369.31131250751,58734.93833135708,61084.08330985155,63390.55194267587,65662.5705465095,67893.56849059829,70078.33198139646,72208.73377289755,74275.16922889739,76261.28492629262,78160.48469290283,79975.49792941145,81688.92265849604,83297.90024254147,84796.05665044143,86203.53032262578,87508.9918421531,88720.77967309907,89845.78471007629,90893.50015575017,91865.03978517478,92765.98743179768,93576.22518144365,94299.8985908044,94934.17840100077,95486.88810290048,95970.90328663679,96388.22080295517,96749.61402384608,97064.89828166094,97338.57916375062,97572.46209309998,97770.02214244321,97936.83059145621,98077.85255155254,98197.54043216111,98297.72865241228,98381.17791865076,98450.62012239303,98508.4637267574,98556.73966315953,98597.12868403726,98631.01091033051,98659.516423784,98683.57017161274,98703.92976352599,98721.2165727878,98735.94107545239,98748.52341155853,98759.31004787254,98768.58728229074,98776.59219666265,98783.52154974581,98789.53900678588,98794.78102485056,98799.36165069476,98803.37643786013,98806.90564953793,98810.01688149427,98812.76721348491,98815.20497680025,98817.37120886394,98819.30085234939,98821.02374543095
95CI-down,250.0,289.77100049,333.4271105627226,389.04210983745276,458.70376585936845,534.8534867291917,617.2239160816895,722.1062290791443,852.3543649369357,1012.6521612692351,1203.2946643466255,1432.5044475686389,1683.655504928876,1956.115259204668,2295.8308803719287,2708.258919721567,3191.9898756001385,3761.730308152034,4429.315848855206,5144.838151797254,5948.363165766445,6845.820393804142,7795.763521381449,10191.218371390996,12242.203053947822,14013.53788722379,15564.83276352444,16942.591979957342,18207.4497961741,19400.062224971814,20547.01688153336,21662.695840451473,22762.661811474696,23852.30364131577,24932.56565593188,26010.645460253905,27084.146603649766,28150.036020687432,29197.838963239406,30230.796620962552,31246.24292614996,32242.00326925937,33214.67680186497,34160.19720347448,35071.66704159097,35946.07644059114,36784.26436263324,37578.852853803684,38328.31771582461,39029.71911278786,39691.09950230296,40307.67133835205,40882.715929615755,41419.01327373709,41920.49527017441,42387.63692741728,42822.785016470836,43217.36453845752,43572.885290124825,43887.909006409565,44165.55264600253,44411.228018834336,44625.70553095952,44813.62258034284,44979.29960009269,45124.747155133206,45250.74514417793,45358.81314867007,45451.46117132377,45530.96961762312,45599.42626276147,45657.68121037529,45707.04221305751,45748.82900418654,45784.22785911105,45814.258687567424,45839.782061842154,45861.518413814185,45880.0690967368,45895.935772890494,45909.53716493885,45921.22314899937,45931.28647421527,45939.97246122452,45947.48701455181,45954.00324103457,45959.666920056225,45964.60102914265,45968.90949235157,45972.68028879113,45975.98803383357,45978.896125309664,45981.458530396005,45983.72127537024,45985.723689347134,45987.49944406173,45989.07742436101,45990.4824579972,45991.735928338414
