street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.78198460621957,340.08333451217044,401.2161967822323,478.5794098814782,563.4323624230003,655.5378049681751,774.1110455815766,922.5381139556033,1106.5011026648378,1326.5317074435882,1592.8085575434295,1885.4315870750715,2203.8519959462733,2604.462444063742,3093.9055249860326,3670.7795714655444,4353.667010518096,5157.683962523554,6020.8226540609785,6993.988013948498,8084.475846446769,10125.0,12827.600060145716,15207.54437022875,17221.988921788212,18999.0464698709,20619.341807589873,22130.075125787236,23569.521798448193,24965.678666848256,26344.31339939368,27773.076041826214,29268.9283953204,30837.85594645104,32468.422161723392,34139.546225251324,35790.24343934781,37412.91637933966,39093.37406420004,40788.18074440493,42497.841349978444,44205.60544253224,45916.98052653727,47554.608707469655,49100.36100108064,50611.442422299515,52074.27416167799,53486.31865713253,54840.56098846531,56162.307413615985,57380.712057317105,58505.009534724915,59578.73857959478,60613.46059882805,61598.11676692587,62527.347508477294,63376.35007259313,64128.97392317845,64783.753301612436,65365.15714038364,65886.76275830153,66344.34446629208,66747.42236378841,67110.64603160082,67427.91399162145,67697.8897134072,67929.17418848648,68128.74789242304,68301.48771449382,68451.03549520546,68577.7718392545,68684.97150352564,68775.76917779433,68852.82544321817,68918.35751244967,68974.20924723438,69021.91529829294,69062.75472880613,69097.79518246789,69127.92919935973,69153.90409678778,69176.34658449244,69195.78306805738,69212.65641751283,69227.33983454284,69240.14833523678,69251.34827077774,69261.16523162628,69269.79061824223,69277.38711046208,69284.09322611794,69290.0271255698,69295.28979110093,69299.96768743347,69304.13499102906,69307.85546058558,69311.18400861112,69314.16802365573
95CI-up,250.0,295.57673241,346.32120312664966,413.1573379599494,499.1167996797071,594.1258088066054,698.2306577295429,835.6339147940315,1011.1802566995971,1233.3351440344663,1504.4347749199694,1840.5706672799809,2216.131970093036,2632.792182626474,3179.2129964001692,3870.6691314766376,4713.341840519787,5750.5739519882745,7024.572446977948,8432.93286609296,10097.161010853848,12052.859770756135,14201.810867900045,19508.750134123613,23867.99740496675,27416.046518884257,30438.978171024068,33117.86265339694,35561.485463659854,37852.15613576563,40048.06137952286,42198.894072546536,44418.21395526964,46735.26841039773,49160.52988766747,51675.968528050005,54248.096268237634,56779.95778422039,59260.876225319545,61828.379211730244,64412.26111515508,67013.1940215379,69604.47061674499,72194.79310137233,74662.52684981126,76980.8097213319,79240.26797113643,81419.7202462583,83515.51548860339,85517.09700262999,87463.80735132413,89247.63362251416,90884.33221970228,92440.89054482519,93934.97368689034,95350.18834413608,96679.02656424612,97885.29095406603,98946.55881795869,99862.29747824978,100669.43370850848,101388.54526626451,102014.45375372565,102561.63425910955,103051.43481692843,103475.99410332678,103834.22453503725,104138.62442721834,104399.26613951637,104623.19474054927,104815.6730135888,104977.5526038959,105113.47607510893,105227.8081836213,105324.21224645567,105405.71029340943,105474.79092491893,105533.5056240741,105583.54824273412,105626.31976525829,105662.98100798689,105694.49553927808,105721.66468011899,105745.156085901,105765.52711914222,105783.2439893925,105798.69744906177,105812.21568324379,105824.07491037961,105834.508112942,105843.71223854275,105851.8541482398,105859.07553737031,105865.49701257958,105871.22147494751,105876.33693170943,105880.91883679734,105885.0320423106,105888.73242826738
95CI-down,250.0,289.77100049,333.4271105627226,388.9276977044155,458.23125252710815,533.809293654627,615.3335872502895,718.5472330982946,846.0465674733402,1002.131144011335,1186.8323531296733,1407.7236076609563,1648.808496267796,1909.249922105784,2231.5775654187805,2620.28231078948,3073.516297730577,3604.0206627050316,4221.736219650047,4880.908742372039,5616.820323690294,6433.720323636775,7294.102918157272,9456.784651927355,11299.285828215257,12842.445780405818,14184.535388438544,15389.676869144472,16497.500198602895,17539.342863551246,18538.23514943789,19514.511050169465,20514.531941944966,21551.853749703507,22632.28287215468,23749.808406268752,24891.657537322604,26018.979024613254,27126.692881636423,28269.641504030827,29420.491357657294,30579.536588315168,31736.04424355709,32893.37046780828,34002.19423768024,35050.43655922568,36073.97007333393,37064.343884543116,38019.97393676885,38936.436366166396,39829.74796275737,40655.323938969676,41418.66838082875,42147.1889441755,42848.4834396591,43515.84964000949,44146.01525278187,44723.36394117326,45237.57020211003,45687.53637914376,46088.64452039853,46449.61694183823,46767.913401414866,47049.62515332176,47304.200454377446,47527.83491301456,47719.6510021742,47885.18052653547,48028.976401121596,48154.25570895347,48263.43665943577,48356.78078017899,48436.447785193,48504.52868694916,48562.81530768376,48612.814209153505,48655.78922984915,48692.8014334132,48724.742874128926,48752.36464243231,48776.30010678006,48797.08418703128,48815.16935632411,48830.938944332964,48844.71821185427,48856.78358246959,48867.37034828479,48876.6791105731,48884.881170205656,48892.12304512698,48898.53026128053,48904.21053805961,48909.256468538304,48913.747777600016,48917.7532269601,48921.33222442773,48924.536185127785,48927.409684442435,48929.99143584081
