street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.78198460621957,340.08333451217044,401.2161967822323,478.5794098814782,563.4323624230003,655.5378049681751,774.1110455815766,922.5381139556033,1106.5011026648378,1326.5317074435882,1592.8085575434295,1885.4315870750715,2203.8519959462733,2604.462444063742,3093.9055249860326,3670.7795714655444,4353.667010518096,5157.683962523554,6020.8226540609785,6993.988013948498,8084.475846446769,9239.85161007886,10411.800902775843,11554.061838021167,14405.55843456769,16870.14277493674,18910.053584806523,20666.191668235784,22231.82565240229,23667.50911472193,25009.075557354507,26286.573843736795,27513.28244119286,28695.791977575333,29844.746397515766,30959.208891539,32036.848713447693,33068.08951328682,34057.01732514348,35001.6212343654,35900.04616109751,36749.76890114629,37548.38949633535,38290.76065051797,38975.41465731142,39604.71352744653,40177.268895394125,40695.07897406415,41158.268259702614,41576.92651541929,41949.8697836317,42282.13134566151,42578.19744293833,42843.29176422369,43079.51486280791,43289.622221154306,43470.63646399582,43625.72272884657,43756.45234921395,43866.30697043327,43959.21317801977,44036.801275382466,44101.96194354387,44157.15188707816,44203.72099854817,44242.5530504098,44274.739376150974,44301.52108111841,44323.88206441929,44342.635208734995,44358.21464628846,44371.16463999771,44381.959063241615,44390.986752771634,44398.563276081404,44404.944552924826,44410.33846895155,44414.914265774576,44418.8100551393,44422.13882580175,44424.99325083508,44427.449541157795,44429.57053991466,44431.40821171066,44433.00564867699,44434.39869012939,44435.61723269292,44436.68629206435,44437.626865164064,44438.45663159234,44439.19052549951,44439.84120277969,44440.41942356287,44440.93436604847,44441.393884585115,44441.80472239366,44442.17268732224,44442.502797414054
95CI-up,250.0,295.57673241,346.32120312664966,413.1573379599494,499.1167996797071,594.1258088066054,698.2306577295429,835.6339147940315,1011.1802566995971,1233.3351440344663,1504.4347749199694,1840.5706672799809,2216.131970093036,2632.792182626474,3179.2129964001692,3870.6691314766376,4713.341840519787,5750.5739519882745,7024.572446977948,8432.93286609296,10097.161010853848,12052.859770756135,14201.810867900045,16444.776208231102,18672.91277924099,24020.340879124968,28544.451210279956,32231.49428511432,35368.42295647912,38142.18623825584,40672.300438796025,43028.65096332576,45268.42939947564,47416.55048104477,49485.141174623466,51493.67418323773,53440.06207146984,55319.80606918224,57115.249057752386,58834.10350282886,60472.77437664134,62028.016313243956,63495.41638344007,64870.85423050309,66145.27038889308,67316.40135810836,68388.91320455777,69360.65155411427,70235.60605942331,71014.35067421761,71715.28837510482,72336.48182538712,72887.11776046306,73375.31167034294,73810.39985230604,74196.15718150992,74537.49066066454,74829.36630296276,75077.48386329491,75284.75824487787,75457.3352502794,75602.01710414687,75721.67935276599,75821.24762270933,75904.85599688339,75974.78171921374,76032.52887221616,76079.9170603418,76118.97223367899,76151.28363581648,76178.14814433361,76200.26632259591,76218.49338370816,76233.56392837485,76246.07358810463,76256.50025366149,76265.2271909639,76272.56237288864,76278.75389999124,76284.0021902394,76288.46960845361,76292.28808315934,76295.5651422204,76298.38870464778,76300.8308923913,76302.9510686355,76304.79826452697,76306.41312150493,76307.82944927455,76309.07547824977,76310.17486867803,76311.14752563009,76312.01025879945,76312.77731800196,76313.46082891789,76314.07114860867,76314.61715638023,76315.10649242839,76315.54575421636
95CI-down,250.0,289.77100049,333.4271105627226,388.9276977044155,458.23125252710815,533.809293654627,615.3335872502895,718.5472330982946,846.0465674733402,1002.131144011335,1186.8323531296733,1407.7236076609563,1648.808496267796,1909.249922105784,2231.5775654187805,2620.28231078948,3073.516297730577,3604.0206627050316,4221.736219650047,4880.908742372039,5616.820323690294,6433.720323636775,7294.102918157272,8163.811320720535,9010.644345374589,11096.425709324214,12922.086555689499,14452.024824366079,15780.583039440411,16971.1895875266,18065.70354632442,19089.330121512266,20063.547229204374,20998.18152341549,21898.32514174248,22771.88784650236,23618.565048153265,24436.95847135699,25220.438956107366,25971.95311386872,26690.14493709855,27373.73625651344,28020.950593256755,28630.075111907132,29197.424300137525,29721.89520451664,30205.11738206794,30646.072791312763,31046.149223795433,31405.414490324863,31731.06875529708,32022.31078360161,32282.771139806704,32515.716749695843,32724.966524708132,32912.10222826131,33079.1744343338,33224.053338062025,33349.039604251346,33455.28000913767,33545.328273684114,33622.09391503087,33686.79957062856,33741.6178136637,33788.415862634254,33828.23362535796,33861.7550921893,33889.82433062748,33913.40927662861,33933.28614590851,33950.10372447599,33964.21162738497,33976.050536618815,33986.00845023804,33994.40752154969,34001.51231686068,34007.53993220735,34012.668775376806,34017.04575820634,34020.79212027457,34024.00813860923,34026.776940654694,34029.16759626139,34031.2376294066,34033.03506216802,34034.60008102379,34035.96639769467,34037.16236252215,34038.21187703065,34039.13514325812,34039.94928018486,34040.668831775,34041.30618647688,34041.87192427343,34042.37510435061,34042.82350401179,34043.22381749685,34043.581821769294,34043.90251504392
