street,2020/01/01,2020/01/02,2020/01/03,2020/01/04,2020/01/05,2020/01/06,2020/01/07,2020/01/08,2020/01/09,2020/01/10,2020/01/11,2020/01/12,2020/01/13,2020/01/14,2020/01/15,2020/01/16,2020/01/17,2020/01/18,2020/01/19,2020/01/20,2020/01/21,2020/01/22,2020/01/23,2020/01/24,2020/01/25,2020/01/26,2020/01/27,2020/01/28,2020/01/29,2020/01/30,2020/01/31,2020/02/01,2020/02/02,2020/02/03,2020/02/04,2020/02/05,2020/02/06,2020/02/07,2020/02/08,2020/02/09,2020/02/10,2020/02/11,2020/02/12,2020/02/13,2020/02/14,2020/02/15,2020/02/16,2020/02/17,2020/02/18,2020/02/19,2020/02/20,2020/02/21,2020/02/22,2020/02/23,2020/02/24,2020/02/25,2020/02/26,2020/02/27,2020/02/28,2020/02/29,2020/03/01,2020/03/02,2020/03/03,2020/03/04,2020/03/05,2020/03/06,2020/03/07,2020/03/08,2020/03/09,2020/03/10,2020/03/11,2020/03/12,2020/03/13,2020/03/14,2020/03/15,2020/03/16,2020/03/17,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08
武汉市,250.0,292.7819846062196,340.08333451217044,401.29516005647156,478.90580471156284,564.1540537777233,656.8464369685051,776.588275126903,926.9527408002335,1113.9056805160658,1338.1815074487859,1610.4520353337696,1910.3659540766455,2237.546618343476,2651.0101616910247,3158.1694215220846,3758.009229908962,4470.714239838292,5312.976017096266,6219.54203668359,7245.268443572223,8398.900015480234,10125.0,12827.600060145716,15207.544370228752,17294.679665489704,19141.80556929028,20794.89573062135,22325.245061202902,23778.853853782275,25184.2860345424,26555.15305734723,27907.866192761627,29245.826665540055,30567.951017709438,31881.486558341556,33181.615744182374,34463.09450648236,35711.941284700326,36931.76851421963,38118.8192536469,39269.916194321515,40380.713779720274,41446.51881362591,42459.13370680451,43415.17683731949,44316.12687807202,45155.72118150814,45933.763008127105,46647.93521468144,47309.62170834842,47914.51485563127,48467.68836275982,48973.59889714499,49438.044890748686,49862.50166335828,50250.0693349691,50593.173709685885,50894.93197307758,51155.62304048002,51379.72233341719,51573.38605420635,51738.36884021424,51879.562068676525,52001.326840485155,52105.86230114656,52194.35853391283,52268.58055055861,52330.91448187231,52383.37510479856,52427.70077126973,52464.713546030944,52495.537196144185,52521.22439585484,52542.673676224964,52560.629289225275,52575.701645972615,52588.39009394692,52599.10319484933,52608.17564712975,52615.88210203456,52622.44836100075,52628.06043340061,52632.871864746725,52637.00967144337,52640.57915333314,52643.66780185795,52646.34847855165,52648.68200406078,52650.7192703007,52652.50296630288,52654.06899067038,52655.44760943321,52656.66440677015,52657.74106697001,52658.696018697134,52659.544966741894,52660.30133169548,52660.976614161635
95CI-up,250.0,295.57673241,346.32120312664966,413.24716935450857,499.48940598067094,594.9516664583903,699.7345567283421,838.513037060056,1016.3697166484275,1242.143360447026,1518.4628743498336,1862.1165091546604,2246.957550047418,2674.976820054012,3238.7046265052677,3954.747299630501,4830.212666245446,5911.497849806765,7244.139361019041,8720.863485077743,10471.460886639585,12535.564248017883,14809.836570863306,20438.99207910902,25074.143686156505,28962.43618435881,32290.55657099159,35192.90801450078,37824.78436298207,40286.10631237288,42639.19463406455,44915.85630677944,47149.60243957439,49349.59036735773,51516.147444617025,53663.11898259482,55783.12917009845,57867.90910516341,59894.26643726534,61869.02507842881,63786.24480854727,65640.94687022032,67426.17128031878,69134.4138035233,70752.33825123307,72274.81283635969,73704.82237054117,75032.40211266687,76257.80286122787,77377.72118228988,78411.50917362492,79352.40482871504,80209.15473127944,80989.37857685875,81702.79717041404,82352.0213478021,82942.2720081419,83461.63451708209,83915.50877349354,84304.7416590563,84636.81817212875,84921.74287879124,85162.5432010867,85367.05085248376,85542.16457103693,85691.40299287418,85816.73090774208,85920.95839710183,86007.77514343555,86080.26515975289,86141.05727300004,86191.42511384418,86233.05257230689,86267.49440368512,86296.06244431861,86319.83165346656,86339.67454882019,86356.29769280518,86370.2735093528,86382.0664632517,86392.05417714022,86400.54435353861,86407.78831405015,86413.99183608058,86419.32383647969,86423.92334009366,86427.90508095971,86431.36401200783,86434.37894224463,86437.01547542535,86439.3283886648,86441.36356129918,86443.15954201444,86444.74882456662,86446.1588883667,86447.41304902156,86448.5311550163,86449.5301596191,86450.42459141463
95CI-down,250.0,289.77100049,333.4271105627226,388.9963449842379,458.51452425789034,534.434910365622,616.4654058971308,720.6757382558569,849.8148935145744,1008.4099140688752,1196.647222457089,1422.4835408789481,1669.5469159833028,1937.118956891503,2269.745344257464,2672.480499334133,3143.7279399176136,3697.376169030178,4344.467844804975,5036.800878458676,5812.448599311362,6676.625869373576,7589.50928794827,9888.521427723206,11852.971413691308,13546.372682204048,15026.153676854936,16336.881434227309,17535.829775804606,18661.154464808864,19737.545797685572,20778.198739162883,21797.228735711862,22799.12555329559,23784.69187392726,24760.02594586988,25722.649348769173,26669.510778764925,27591.33342700159,28490.770143731534,29365.38991738366,30213.098732308576,31030.95988073239,31815.76304815262,32561.86151617099,33266.87514222266,33931.77144318036,34552.2468090691,35128.130873035385,35657.82264779889,36149.1253406421,36599.177917651636,37011.50563936875,37389.24849466902,37736.48875837851,38054.360482111835,38345.09767361742,38603.577435282976,38831.95392720777,39030.44509869985,39202.15978726444,39351.40350012879,39479.457146017274,39589.77876337214,39685.48249590297,39768.178041847306,39838.75263111762,39898.48855327519,39949.11395819159,39992.1025077776,40028.737903086214,40059.638509114935,40085.64240354421,40107.5403511554,40126.01397584119,40141.63384037732,40154.87296482086,40166.12251791178,40175.70603696501,40183.89144613434,40190.900977331585,40196.91929529316,40202.10013788585,40206.571743636196,40210.441292364936,40213.79854319567,40216.718819364025,40219.265460822295,40221.49184264076,40223.44303866129,40225.15719490224,40226.66666514326,40227.99895136563,40229.1774838333,40230.22226920736,40231.150429901296,40231.97665367175,40232.71356901341,40233.37205913538
